,age,gender,q3,q4,q6,q7,q8,q9,q10,q14,q20,q21,q22,q24,q34,q35,q39,q41
10,30-34,Man,Colombia,I prefer not to answer,< 1 years,[' SQL'],Python,"['Visual Studio ', 'Jupyter Notebook']",,[' None'],['Accounting/Finance'],50-249 employees,10-14,['Analyze and understand data to influence product or business decisions'], None,,['I do not share my work publicly'],['Basic statistical software (Microsoft Excel-Google Sheets)']
11,70+,Woman,United States of America,Master’s degree,20+ years,"['Python', ' SQL']",Python,['Jupyter Notebook'],,"[' Matplotlib ', 'Seaborn ']",['Government/Public Service'],"1000-9,999 employees",3-4,"['Analyze and understand data to influence product or business decisions', ' Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data']", Qlik,,"['GitHub', 'Kaggle']",['Local development environments (RStudio-JupyterLab)']
12,18-21,Man,Brazil,Bachelor’s degree,3-5 years,"['Python', ' SQL', ' C', ' Javascript']",Python,"['Jupyter-JupyterLab-JupyterNotebooks ', 'Visual Studio Code (VSCode) ', 'Jupyter Notebook']","['Kaggle Notebooks', 'Colab Notebooks', 'Google Cloud Datalab', 'Databricks Collaborative Notebooks']","[' Matplotlib ', 'Seaborn ', 'Geoplotlib ']",['Online Business/Internet-based Sales'],"1000-9,999 employees",20+,"['Analyze and understand data to influence product or business decisions', ' Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data']", Tableau,,"['GitHub', 'Kaggle', 'Colab']",['Cloud-based data software & APIs (AWS-GCP-Azure)']
13,30-34,Man,India,Bachelor’s degree,1-3 years,"['Python', ' SQL']",SQL,"[' Notepad++', 'Jupyter Notebook']","['Colab Notebooks', 'Observable Notebooks']","[' Matplotlib ', 'Seaborn ']",['Computers/Technology'],"10,000 or more employees",20+,[' None of these activities are an important part of my role at work'], Tableau,,['Personal blog'],['Basic statistical software (Microsoft Excel-Google Sheets)']
14,22-24,Man,Ukraine,Doctoral degree,3-5 years,"['Python', ' SQL', ' C++', ' Other']",Python,"['Jupyter-JupyterLab-JupyterNotebooks ', 'Visual Studio ', 'PyCharm ', ' Notepad++', 'Jupyter Notebook']","['Kaggle Notebooks', 'Colab Notebooks']","[' Matplotlib ', 'Seaborn ']",['Other'],0-49 employees,1-2,"['Analyze and understand data to influence product or business decisions', ' Experimentation and iteration to improve existing ML models']",,,,['Advanced statistical software (SPSS-SAS)']
15,25-29,Woman,Pakistan,Master’s degree,< 1 years,[' SQL'],Python,['Jupyter Notebook'],['Google Cloud Datalab'],[' None'],['Computers/Technology'],"1000-9,999 employees",3-4,['Analyze and understand data to influence product or business decisions'], Microsoft Power BI,,['I do not share my work publicly'],
16,25-29,Woman,India,Bachelor’s degree,< 1 years,"['Python', ' R', ' SQL']",R,"['Jupyter-JupyterLab-JupyterNotebooks ', 'RStudio ', ' Spyder']",['Google Cloud Datalab'],"[' Matplotlib ', 'Ggplot / ggplot2 ']",['Energy/Mining'],"10,000 or more employees",20+,"['Analyze and understand data to influence product or business decisions', ' Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data']"," Microsoft Power BI, Tableau, Alteryx ",Microsoft Power BI,['I do not share my work publicly'],['Basic statistical software (Microsoft Excel-Google Sheets)']
17,35-39,Woman,Other,Master’s degree,10-20 years,"['Python', ' R', ' SQL']",R,"['Jupyter-JupyterLab-JupyterNotebooks ', 'Jupyter Notebook']",['Kaggle Notebooks'],[' Matplotlib '],['Computers/Technology'],0-49 employees,1-2,,,,,
18,25-29,Woman,Pakistan,Doctoral degree,3-5 years,['Python'],R,[' Spyder'],['Colab Notebooks'],"['Seaborn ', 'Ggplot / ggplot2 ']",['Academics/Education'],50-249 employees,1-2,"['Analyze and understand data to influence product or business decisions', ' Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data', ' Build prototypes to explore applying machine learning to new areas', ' Build and/or run a machine learning service that operationally improves my product or workflows', ' Experimentation and iteration to improve existing ML models', ' Do research that advances the state of the art of machine learning']", Microsoft Power BI,,"['GitHub', 'Colab']",
19,25-29,Woman,India,Master’s degree,1-3 years,"['Python', ' SQL']",R,['Jupyter Notebook'],['Colab Notebooks'],"[' Matplotlib ', 'Seaborn ', 'Plotly / Plotly Express ', 'Ggplot / ggplot2 ', 'Geoplotlib ']",['Online Business/Internet-based Sales'],250-999 employees,20+,"['Analyze and understand data to influence product or business decisions', ' Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data', ' Do research that advances the state of the art of machine learning']"," Microsoft Power BI, Tableau",Tableau,"['GitHub', 'Kaggle', 'Colab']",['Basic statistical software (Microsoft Excel-Google Sheets)']
20,40-44,Man,Canada,Master’s degree,< 1 years,"['Python', ' SQL']",Python,"['Jupyter-JupyterLab-JupyterNotebooks ', 'Visual Studio Code (VSCode) ', 'PyCharm ', 'Jupyter Notebook']",['Colab Notebooks'],"[' Matplotlib ', 'Seaborn ']",['Academics/Education'],0-49 employees,5-9,['Analyze and understand data to influence product or business decisions'], None,,"['GitHub', 'Kaggle', 'Colab']",['Basic statistical software (Microsoft Excel-Google Sheets)']
21,30-34,Man,Nigeria,Master’s degree,1-3 years,"['Python', ' R', ' SQL']",SQL,"['RStudio ', 'Jupyter Notebook']",['Azure Notebooks'],"[' Matplotlib ', 'Seaborn ', 'Ggplot / ggplot2 ']",['Manufacturing/Fabrication'],"1000-9,999 employees",1-2,"['Analyze and understand data to influence product or business decisions', ' Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data']"," Microsoft Power BI, Tableau",Microsoft Power BI,['I do not share my work publicly'],
22,35-39,Woman,Tunisia,Doctoral degree,3-5 years,[' C++'],Java,['Visual Studio '],['IBM Watson Studio'],[' None'],['Academics/Education'],0-49 employees,3-4,[' None of these activities are an important part of my role at work'],,,,['Local development environments (RStudio-JupyterLab)']
23,22-24,Man,China,Bachelor’s degree,1-3 years,['Python'],Python,"['PyCharm ', 'Jupyter Notebook']",['Kaggle Notebooks'],"[' Matplotlib ', 'Seaborn ']",['Computers/Technology'],50-249 employees,3-4,"[' Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data', ' Build prototypes to explore applying machine learning to new areas']", Domo,,"['GitHub', 'Kaggle', 'Colab']",['Basic statistical software (Microsoft Excel-Google Sheets)']
24,25-29,Woman,Italy,Master’s degree,1-3 years,"['Python', ' R', ' Other']",Python,"['Jupyter-JupyterLab-JupyterNotebooks ', 'RStudio ', 'PyCharm ', ' Spyder', ' Sublime Text', 'Jupyter Notebook']",['Binder / JupyterHub'],"['Ggplot / ggplot2 ', 'Shiny ']",['Academics/Education'],250-999 employees,1-2,[' Build prototypes to explore applying machine learning to new areas'],,,,['Advanced statistical software (SPSS-SAS)']
25,25-29,Woman,India,Bachelor’s degree,3-5 years,"['Python', ' SQL', ' Other']",Python,['Jupyter Notebook'],,"[' Matplotlib ', 'Plotly / Plotly Express ']",['Medical/Pharmaceutical'],"10,000 or more employees",1-2,"['Analyze and understand data to influence product or business decisions', ' Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data', ' Build prototypes to explore applying machine learning to new areas', ' Build and/or run a machine learning service that operationally improves my product or workflows', ' Experimentation and iteration to improve existing ML models', ' Do research that advances the state of the art of machine learning']",,,,['Advanced statistical software (SPSS-SAS)']
26,50-54,Man,Spain,Bachelor’s degree,1-3 years,[' R'],R,['RStudio '],,['Ggplot / ggplot2 '],['Online Service/Internet-based Services'],50-249 employees,3-4,"['Analyze and understand data to influence product or business decisions', ' Do research that advances the state of the art of machine learning']", Google Data Studio,,['GitHub'],['Local development environments (RStudio-JupyterLab)']
27,25-29,Man,Colombia,Bachelor’s degree,1-3 years,"['Python', ' SQL', ' Java', ' Javascript']",Python,['Visual Studio Code (VSCode) '],"['Colab Notebooks', 'Azure Notebooks', 'Amazon EMR Notebooks', 'Google Cloud Datalab', 'Databricks Collaborative Notebooks']","[' Matplotlib ', 'Seaborn ', 'Plotly / Plotly Express ']",['Broadcasting/Communications'],"10,000 or more employees",20+,"['Analyze and understand data to influence product or business decisions', ' Experimentation and iteration to improve existing ML models']"," Microsoft Power BI, Google Data Studio, Tableau",Tableau,"['GitHub', 'Kaggle', 'Colab']",['Basic statistical software (Microsoft Excel-Google Sheets)']
28,30-34,Woman,United States of America,Bachelor’s degree,< 1 years,"[' R', ' SQL']",SQL,['RStudio '],"['Kaggle Notebooks', 'Amazon EMR Notebooks', 'Google Cloud Notebooks (AI Platform / Vertex AI)', 'Google Cloud Datalab', 'Databricks Collaborative Notebooks']",[' None'],['Manufacturing/Fabrication'],0-49 employees,1-2,"['Analyze and understand data to influence product or business decisions', ' Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data']", Tableau CRM,,['I do not share my work publicly'],['Basic statistical software (Microsoft Excel-Google Sheets)']
29,30-34,Man,Indonesia,Master’s degree,5-10 years,"['Python', ' SQL', ' C++']",Python,"['Visual Studio Code (VSCode) ', ' Notepad++', 'Jupyter Notebook']","['Kaggle Notebooks', 'Colab Notebooks']","[' Matplotlib ', 'Seaborn ']",['Academics/Education'],50-249 employees,3-4,"['Analyze and understand data to influence product or business decisions', ' Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data', ' Build prototypes to explore applying machine learning to new areas', ' Build and/or run a machine learning service that operationally improves my product or workflows', ' Experimentation and iteration to improve existing ML models', ' Do research that advances the state of the art of machine learning']", Google Data Studio,,"['GitHub', 'Colab']",['Local development environments (RStudio-JupyterLab)']
30,22-24,Man,Sri Lanka,Bachelor’s degree,1-3 years,"['Python', ' SQL', ' Javascript', ' Other']",Python,"['Visual Studio Code (VSCode) ', 'Jupyter Notebook']",['Kaggle Notebooks'],"[' Matplotlib ', 'Seaborn ']",['Hospitality/Entertainment/Sports'],0-49 employees,3-4,"[' Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data', ' Build prototypes to explore applying machine learning to new areas', ' Experimentation and iteration to improve existing ML models']", Tableau,,"['GitHub', 'Kaggle']",['Basic statistical software (Microsoft Excel-Google Sheets)']
31,25-29,Man,United States of America,Master’s degree,< 1 years,"['Python', ' SQL']",Python,"['RStudio ', 'Jupyter Notebook']",,"[' Matplotlib ', 'Seaborn ', 'Plotly / Plotly Express ', 'Ggplot / ggplot2 ']",['Computers/Technology'],"1000-9,999 employees",20+,"['Analyze and understand data to influence product or business decisions', ' Build prototypes to explore applying machine learning to new areas', ' Do research that advances the state of the art of machine learning']"," Microsoft Power BI, Tableau, TIBCO Spotfire, Alteryx ",Tableau,['GitHub'],['Basic statistical software (Microsoft Excel-Google Sheets)']
32,35-39,Man,United States of America,Master’s degree,10-20 years,"['Python', ' R', ' SQL', ' MATLAB']",Python,"['RStudio ', 'PyCharm ', 'MATLAB ']","['Kaggle Notebooks', 'Colab Notebooks']","['Plotly / Plotly Express ', 'Ggplot / ggplot2 ']",['Computers/Technology'],50-249 employees,3-4,"['Analyze and understand data to influence product or business decisions', ' Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data', ' Build prototypes to explore applying machine learning to new areas', ' Experimentation and iteration to improve existing ML models']", None,,"['GitHub', 'Kaggle']",['Cloud-based data software & APIs (AWS-GCP-Azure)']
33,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,< 1 years,"['Python', ' SQL']",Python,"['RStudio ', 'Visual Studio ', 'Visual Studio Code (VSCode) ', 'PyCharm ', 'Jupyter Notebook']",,"[' Matplotlib ', 'Seaborn ', 'Plotly / Plotly Express ', 'Ggplot / ggplot2 ', 'Geoplotlib ']",['Online Business/Internet-based Sales'],50-249 employees,3-4,"['Analyze and understand data to influence product or business decisions', ' Build prototypes to explore applying machine learning to new areas', ' Build and/or run a machine learning service that operationally improves my product or workflows']"," Microsoft Power BI, Google Data Studio",Microsoft Power BI,"['GitHub', 'Kaggle']",['Basic statistical software (Microsoft Excel-Google Sheets)']
34,25-29,Woman,India,Master’s degree,< 1 years,"['Python', ' R', ' SQL']",SQL,['Jupyter Notebook'],['Other'],"[' Matplotlib ', 'Seaborn ']",['Retail/Sales'],50-249 employees,5-9,"['Analyze and understand data to influence product or business decisions', ' Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data', ' Build and/or run a machine learning service that operationally improves my product or workflows']"," Microsoft Power BI, Tableau",Tableau,"['GitHub', 'Kaggle']",['Business intelligence software (Salesforce-Tableau-Spotfire)']
35,22-24,Woman,India,Bachelor’s degree,I have never written code,,,,,,['Other'],"10,000 or more employees",5-9,"['Analyze and understand data to influence product or business decisions', ' Experimentation and iteration to improve existing ML models']",,,,['Cloud-based data software & APIs (AWS-GCP-Azure)']
36,18-21,Woman,Turkey,Master’s degree,1-3 years,"['Python', ' SQL', ' MATLAB']",Python,"[' Spyder', ' Other']","['Kaggle Notebooks', 'Colab Notebooks']","[' Matplotlib ', 'Seaborn ']",['Government/Public Service'],0-49 employees,5-9,[' Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data'], Tableau CRM,,"['GitHub', 'Other']",['Basic statistical software (Microsoft Excel-Google Sheets)']
37,35-39,Man,China,Bachelor’s degree,< 1 years,['Python'],Python,"['PyCharm ', 'Jupyter Notebook']",['Amazon Sagemaker Studio Notebooks'],"[' Matplotlib ', 'Seaborn ']",['Manufacturing/Fabrication'],"10,000 or more employees",5-9,"['Analyze and understand data to influence product or business decisions', ' Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data', ' Build prototypes to explore applying machine learning to new areas', ' Build and/or run a machine learning service that operationally improves my product or workflows', ' Experimentation and iteration to improve existing ML models']"," Microsoft Power BI, SAP Analytics Cloud ",SAP Analytics Cloud ,['Personal blog'],['Advanced statistical software (SPSS-SAS)']
38,22-24,Man,India,Master’s degree,< 1 years,"['Python', ' SQL']",Python,"['PyCharm ', 'Jupyter Notebook']","['Kaggle Notebooks', 'Colab Notebooks', 'Google Cloud Datalab']","[' Matplotlib ', 'Seaborn ']",['Computers/Technology'],"10,000 or more employees",1-2,[' Build prototypes to explore applying machine learning to new areas']," Microsoft Power BI, Tableau",Tableau,"['Plotly Dash', 'GitHub', 'Personal blog', 'Kaggle', 'Colab']",['Business intelligence software (Salesforce-Tableau-Spotfire)']
39,22-24,Man,United States of America,Some college/university study without earning a bachelor’s degree,< 1 years,"['Python', ' R', ' SQL']",SQL,[' Notepad++'],['Google Cloud Datalab'],[' None'],['Shipping/Transportation'],250-999 employees,0,[' None of these activities are an important part of my role at work'],,,,
40,22-24,Man,Pakistan,Bachelor’s degree,1-3 years,"['Python', ' Javascript']",Python,"['Jupyter-JupyterLab-JupyterNotebooks ', 'Visual Studio Code (VSCode) ', 'Jupyter Notebook']","['Kaggle Notebooks', 'Google Cloud Notebooks (AI Platform / Vertex AI)', 'Google Cloud Datalab']","[' Matplotlib ', 'Seaborn ']",['Academics/Education'],0-49 employees,3-4,[' Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data'],,,,['Basic statistical software (Microsoft Excel-Google Sheets)']
41,35-39,Man,Other,Bachelor’s degree,< 1 years,"['Python', ' R']",Python,"['Jupyter-JupyterLab-JupyterNotebooks ', 'RStudio ', 'PyCharm ', ' Spyder', ' Notepad++', 'Jupyter Notebook']","['Colab Notebooks', 'Google Cloud Notebooks (AI Platform / Vertex AI)', 'Google Cloud Datalab']","[' Matplotlib ', 'Seaborn ', 'Plotly / Plotly Express ']",['Academics/Education'],0-49 employees,0,"[' Experimentation and iteration to improve existing ML models', ' Do research that advances the state of the art of machine learning']",,,,['Local development environments (RStudio-JupyterLab)']
42,22-24,Man,Ukraine,Bachelor’s degree,< 1 years,['Python'],SQL,"['Jupyter-JupyterLab-JupyterNotebooks ', 'PyCharm ', 'MATLAB ']",,[' None'],,,,,,,,
43,35-39,Man,Kenya,Bachelor’s degree,1-3 years,"['Python', ' R', ' SQL']",Python,['Jupyter-JupyterLab-JupyterNotebooks '],['Kaggle Notebooks'],,,,,,,,,
44,30-34,Man,"Iran, Islamic Republic of...",Doctoral degree,3-5 years,"['Python', ' SQL', ' Java', ' Javascript']",Python,"['Visual Studio Code (VSCode) ', ' Spyder', 'Jupyter Notebook']",['Colab Notebooks'],"[' Matplotlib ', 'Seaborn ']",['Medical/Pharmaceutical'],"1000-9,999 employees",20+,"['Analyze and understand data to influence product or business decisions', ' Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data']",,,,['Advanced statistical software (SPSS-SAS)']
45,45-49,Man,United States of America,Some college/university study without earning a bachelor’s degree,10-20 years,"['Python', ' SQL', ' Javascript', ' Bash']",Python,"[' Notepad++', ' Vim / Emacs']",['Google Cloud Notebooks (AI Platform / Vertex AI)'],[' None'],['Academics/Education'],50-249 employees,3-4,[' Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data'],,,,
46,35-39,Woman,Other,Bachelor’s degree,1-3 years,"[' C', ' C++', ' MATLAB']",SQL,[' None'],,[' None'],['Broadcasting/Communications'],"1000-9,999 employees",5-9,['Analyze and understand data to influence product or business decisions'],,,,
47,18-21,Woman,China,I prefer not to answer,1-3 years,"['Python', ' Java']",Python,['PyCharm '],"['Amazon EMR Notebooks', 'Google Cloud Datalab']",[' Matplotlib '],['Academics/Education'],0-49 employees,3-4,['Analyze and understand data to influence product or business decisions'],,,,
48,25-29,Man,South Korea,Bachelor’s degree,1-3 years,"['Python', ' R']",R,"['RStudio ', 'Visual Studio ', 'PyCharm ', 'Jupyter Notebook']",,,,,,,,,,
49,30-34,Man,Other,Doctoral degree,< 1 years,['Python'],Python,"['PyCharm ', ' Spyder', 'Jupyter Notebook']",,"['Seaborn ', 'Plotly / Plotly Express ', 'Geoplotlib ']",,,,,,,,
50,30-34,Man,Russia,Master’s degree,3-5 years,['Python'],Python,"['Jupyter-JupyterLab-JupyterNotebooks ', 'Visual Studio Code (VSCode) ', 'PyCharm ']","['Kaggle Notebooks', 'Colab Notebooks']","[' Matplotlib ', 'Ggplot / ggplot2 ']",['Academics/Education'],250-999 employees,10-14,[' None of these activities are an important part of my role at work'],,,,
51,22-24,Man,Peru,Bachelor’s degree,1-3 years,"['Python', ' R', ' SQL']",Python,"['RStudio ', 'Visual Studio Code (VSCode) ', 'Jupyter Notebook']","['Kaggle Notebooks', 'Colab Notebooks', 'Deepnote Notebooks']","[' Matplotlib ', 'Seaborn ', 'Ggplot / ggplot2 ', 'Geoplotlib ']",['Manufacturing/Fabrication'],50-249 employees,1-2,"['Analyze and understand data to influence product or business decisions', ' Experimentation and iteration to improve existing ML models']"," Google Data Studio, Tableau",Google Data Studio,"['GitHub', 'Colab']",['Basic statistical software (Microsoft Excel-Google Sheets)']
52,22-24,Man,United States of America,Bachelor’s degree,3-5 years,"['Python', ' SQL']",Python,"['Jupyter-JupyterLab-JupyterNotebooks ', ' Notepad++', ' Vim / Emacs', 'Jupyter Notebook']",['Kaggle Notebooks'],"[' Matplotlib ', 'Seaborn ']",['Accounting/Finance'],"10,000 or more employees",20+,['Analyze and understand data to influence product or business decisions'], Alteryx ,,['Kaggle'],['Local development environments (RStudio-JupyterLab)']
53,50-54,Man,Egypt,Bachelor’s degree,3-5 years,"['Python', ' R', ' SQL', ' Other']",R,"['RStudio ', 'Jupyter Notebook']",,"['Seaborn ', 'Ggplot / ggplot2 ']",['Energy/Mining'],"1000-9,999 employees",20+,['Analyze and understand data to influence product or business decisions'], None,,['GitHub'],['Basic statistical software (Microsoft Excel-Google Sheets)']
54,22-24,Woman,Other,Master’s degree,3-5 years,"['Python', ' C++', ' Java', ' MATLAB']",Python,"['Visual Studio ', 'PyCharm ', 'MATLAB ']","['Colab Notebooks', 'Google Cloud Notebooks (AI Platform / Vertex AI)']","[' Matplotlib ', 'Seaborn ', 'Plotly / Plotly Express ', 'D3 js ']",['Academics/Education'],0-49 employees,5-9,[' Experimentation and iteration to improve existing ML models'],,,,['Local development environments (RStudio-JupyterLab)']
55,40-44,Man,Belgium,Bachelor’s degree,20+ years,"['Python', ' R', ' SQL', ' Other']",R,"['RStudio ', 'Visual Studio ', ' Notepad++']",['Kaggle Notebooks'],['Ggplot / ggplot2 '],['Academics/Education'],"1000-9,999 employees",3-4,['Analyze and understand data to influence product or business decisions'], Microsoft Power BI,,['I do not share my work publicly'],['Business intelligence software (Salesforce-Tableau-Spotfire)']
56,25-29,Woman,India,Master’s degree,< 1 years,"['Python', ' SQL']",Python,"['Jupyter-JupyterLab-JupyterNotebooks ', 'Jupyter Notebook']","['Kaggle Notebooks', 'Google Cloud Notebooks (AI Platform / Vertex AI)']","[' Matplotlib ', 'Seaborn ', 'Plotly / Plotly Express ']",['Computers/Technology'],50-249 employees,0,['Analyze and understand data to influence product or business decisions'],,,,
57,18-21,Woman,Indonesia,Some college/university study without earning a bachelor’s degree,20+ years,[' R'],R,['Visual Studio '],['Kaggle Notebooks'],[' Other'],,,,,,,,
58,30-34,Man,Germany,Master’s degree,1-3 years,"[' R', ' SQL']",Python,"['RStudio ', 'Visual Studio ']",,"['Plotly / Plotly Express ', 'Ggplot / ggplot2 ', 'Shiny ']",['Broadcasting/Communications'],50-249 employees,5-9,['Analyze and understand data to influence product or business decisions'], Microsoft Power BI,,['I do not share my work publicly'],['Business intelligence software (Salesforce-Tableau-Spotfire)']
59,30-34,Man,France,Master’s degree,1-3 years,"['Python', ' R', ' SQL', ' Javascript']",Python,"['Jupyter-JupyterLab-JupyterNotebooks ', 'RStudio ', 'Visual Studio ', 'Visual Studio Code (VSCode) ', ' Sublime Text', 'Jupyter Notebook']","['Kaggle Notebooks', 'Colab Notebooks', 'Azure Notebooks', 'Amazon Sagemaker Studio Notebooks', 'Google Cloud Datalab', 'Databricks Collaborative Notebooks']","[' Matplotlib ', 'Seaborn ', 'Plotly / Plotly Express ', 'Ggplot / ggplot2 ', 'Shiny ', 'Altair ', 'Bokeh ', 'Geoplotlib ', 'Leaflet / Folium ']",['Marketing/CRM'],0-49 employees,1-2,"['Analyze and understand data to influence product or business decisions', ' Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data', ' Build prototypes to explore applying machine learning to new areas', ' Build and/or run a machine learning service that operationally improves my product or workflows', ' Experimentation and iteration to improve existing ML models']","Amazon QuickSight, Microsoft Power BI, Google Data Studio, Looker, Tableau, Tableau CRM, Qlik, Thoughtspot ",Tableau,"['Streamlit', 'GitHub', 'Personal blog', 'Kaggle', 'Colab', 'Shiny']",['Local development environments (RStudio-JupyterLab)']
60,30-34,Man,China,Some college/university study without earning a bachelor’s degree,1-3 years,['Python'],Python,"['PyCharm ', ' Sublime Text', 'Jupyter Notebook']",['Kaggle Notebooks'],"[' Matplotlib ', 'Seaborn ', 'Plotly / Plotly Express ']",['Computers/Technology'],50-249 employees,1-2,['Analyze and understand data to influence product or business decisions'], Tableau,,"['Personal blog', 'Kaggle']",['Basic statistical software (Microsoft Excel-Google Sheets)']
61,25-29,Man,South Korea,Bachelor’s degree,< 1 years,"['Python', ' R']",SQL,"['RStudio ', 'Jupyter Notebook']",['Colab Notebooks'],"[' Matplotlib ', 'Seaborn ']",['Marketing/CRM'],0-49 employees,1-2,['Analyze and understand data to influence product or business decisions'],,,,['Local development environments (RStudio-JupyterLab)']
62,30-34,Woman,Nigeria,Master’s degree,< 1 years,"[' R', ' SQL']",R,['RStudio '],['Other'],['Ggplot / ggplot2 '],['Energy/Mining'],"1000-9,999 employees",1-2,"['Analyze and understand data to influence product or business decisions', ' Build and/or run the data infrastructure that my business uses for storing analyzing and operationalizing data']", Tableau,,['I do not share my work publicly'],['Basic statistical software (Microsoft Excel-Google Sheets)']
63,30-34,Woman,Other,Master’s degree,3-5 years,[' None'],MATLAB,[' None'],,[' None'],['Marketing/CRM'],50-249 employees,20+,['Analyze and understand data to influence product or business decisions'],,,,['Other']
